date,CO2
2023-02-27 17:28:00+00:00,411.125
2023-02-27 17:30:00+00:00,410.95
2023-02-27 17:32:00+00:00,410.775
2023-02-27 17:34:00+00:00,411.1083333
2023-02-27 17:36:00+00:00,410.2833333
2023-02-27 17:38:00+00:00,411.475
2023-02-27 17:40:00+00:00,411.475
2023-02-27 17:42:00+00:00,411.3
2023-02-27 17:44:00+00:00,410.6166667
2023-02-27 17:46:00+00:00,411.1416667
2023-02-27 17:48:00+00:00,410.6
2023-02-27 17:50:00+00:00,410.95
2023-02-27 17:52:00+00:00,410.775
2023-02-27 17:54:00+00:00,411.3
2023-02-27 17:56:00+00:00,412.4583333
2023-02-27 17:58:00+00:00,413.2666667
2023-02-27 18:00:00+00:00,412.95
2023-02-27 18:02:00+00:00,413.9333333
2023-02-27 18:04:00+00:00,414.6333333
2023-02-27 18:06:00+00:00,414.95
2023-02-27 18:08:00+00:00,415.65
2023-02-27 18:10:00+00:00,414.95
2023-02-27 18:12:00+00:00,414.95
2023-02-27 18:14:00+00:00,414.9666667
2023-02-27 18:16:00+00:00,415.3
2023-02-27 18:18:00+00:00,416
2023-02-27 18:20:00+00:00,415.125
2023-02-27 18:22:00+00:00,414.95
2023-02-27 18:24:00+00:00,414.6333333
2023-02-27 18:26:00+00:00,414.4583333
2023-02-27 18:28:00+00:00,412.625
2023-02-27 18:30:00+00:00,412.9166667
2023-02-27 18:32:00+00:00,412.775
2023-02-27 18:34:00+00:00,412.95
2023-02-27 18:36:00+00:00,413.2666667
2023-02-27 18:38:00+00:00,413.1083333
2023-02-27 18:40:00+00:00,412.125
2023-02-27 18:42:00+00:00,413.2666667
2023-02-27 18:44:00+00:00,413.1083333
2023-02-27 18:46:00+00:00,413.2666667
2023-02-27 18:48:00+00:00,411.5833333
2023-02-27 18:50:00+00:00,411.6333333
2023-02-27 18:52:00+00:00,411.125
2023-02-27 18:54:00+00:00,411.65
2023-02-27 18:56:00+00:00,411.6333333
2023-02-27 18:58:00+00:00,410.9666667
2023-02-27 19:00:00+00:00,411.6166667
2023-02-27 19:02:00+00:00,413.2666667
2023-02-27 19:04:00+00:00,411.825
2023-02-27 19:06:00+00:00,412
2023-02-27 19:08:00+00:00,411.475
2023-02-27 19:10:00+00:00,412.125
2023-02-27 19:12:00+00:00,412.95
2023-02-27 19:14:00+00:00,412.7416667
2023-02-27 19:16:00+00:00,413.1083333
2023-02-27 19:18:00+00:00,413.5833333
2023-02-27 19:20:00+00:00,411.6166667
2023-02-27 19:22:00+00:00,411.65
2023-02-27 19:24:00+00:00,411.65
2023-02-27 19:26:00+00:00,411.3
2023-02-27 19:28:00+00:00,411.3
2023-02-27 19:30:00+00:00,410.2833333
2023-02-27 19:32:00+00:00,410.6166667
2023-02-27 19:34:00+00:00,411.125
2023-02-27 19:36:00+00:00,411.3
2023-02-27 19:38:00+00:00,411.65
2023-02-27 19:40:00+00:00,411.125
2023-02-27 19:42:00+00:00,413.2666667
2023-02-27 19:44:00+00:00,414.1083333
2023-02-27 19:46:00+00:00,415.8083333
2023-02-27 19:48:00+00:00,414.95
2023-02-27 19:50:00+00:00,415.125
2023-02-27 19:52:00+00:00,414.7916667
2023-02-27 19:54:00+00:00,414.6
2023-02-27 19:56:00+00:00,414.95
2023-02-27 19:58:00+00:00,415.3
2023-02-27 20:00:00+00:00,414.6
2023-02-27 20:02:00+00:00,415.3
2023-02-27 20:04:00+00:00,415.125
2023-02-27 20:06:00+00:00,415.3
2023-02-27 20:08:00+00:00,415.3
2023-02-27 20:10:00+00:00,414.95
2023-02-27 20:12:00+00:00,414.2666667
2023-02-27 20:14:00+00:00,413.5833333
2023-02-27 20:16:00+00:00,413.2666667
2023-02-27 20:18:00+00:00,414.6
